t,x_obs,y_obs,x_pred,y_pred
6.0,88.364456,57.784378,59.6686496356005,45.804295152375104
6.036024016010674,74.283936,54.40678,59.701366881389916,45.819504741845925
6.072048032021348,60.256474,46.311462,59.73414677598366,45.834597091277985
6.108072048032021,82.13437,57.717567,59.76698929762847,45.84957224138002
6.144096064042695,101.03639,67.84934,59.79989441718018,45.864430246691974
6.180120080053369,69.284134,48.406086,59.83286209809576,45.87917117559994
6.216144096064043,77.81013,57.588833,59.86589229642619,45.89379511034947
6.252168112074717,91.29688,63.03135,59.89898496081021,45.908302147057235
6.28819212808539,107.66841,65.91405,59.93214003246892,45.92269239572122
6.324216144096064,76.40689,56.871525,59.96535744520123,45.93696598022913
6.360240160106738,72.313515,51.168285,59.99863712538022,45.95112303836532
6.396264176117412,100.56871,68.07376,60.03197899195031,45.965163721815955
6.432288192128086,85.40742,57.31956,60.06538295642534,45.97908819617274
6.468312208138759,65.73637,47.454475,60.098848922887505,45.99289664093481
6.504336224149433,78.559,57.776672,60.13237678798716,46.006589249509176
6.540360240160107,102.01643,67.376236,60.1659664409435,46.02016622920937
6.576384256170781,92.44081,67.234024,60.19961776354611,46.033627801252614
6.6124082721814545,102.319664,67.23141,60.23333063015739,46.046974200755216
6.648432288192128,73.051186,52.32614,60.26710490771588,46.06020567672642
6.684456304202802,70.23932,48.974834,60.30094045574043,46.073322492060555
6.7204803202134755,88.56056,57.891556,60.33483712633526,46.08632492352759
6.7565043362241495,91.96877,65.819046,60.3687947641959,46.099213261761996
6.792528352234823,86.83264,57.347816,60.402813206615996,46.111987811249996
6.8285523682454965,92.62934,67.65634,60.43689228349505,46.12464889031515
6.8645763842561704,104.750336,66.19454,60.471031817346955,46.1371968311023
6.900600400266844,73.5264,53.136063,60.50523162330948,46.149631979559885
6.936624416277518,93.27278,68.66579,60.5394915091546,46.161954695420555
6.972648432288192,71.30269,49.905098,60.57381127529973,46.17416535218018
7.008672448298865,64.975815,47.35335,60.60819071481982,46.18626433707523
7.044696464309539,89.05592,58.24083,60.64262961346034,46.19825205105841
7.080720480320213,100.71979,68.00157,60.67712774965118,46.21012890877279
7.116744496330887,106.31808,65.80417,60.71168489452132,46.22189533852411
7.152768512341561,108.06331,66.10597,60.746300811914544,46.23355178225162
7.188792528352234,67.84049,47.865753,60.78097525840589,46.24509869549716
7.224816544362908,82.02788,57.731422,60.81570798331908,46.25653654737261
7.260840560373582,98.86425,68.84363,60.85049872874474,46.2678658205257
